logical: 36118, physical: 2582, byte value: 35
logical: 9584, physical: 112, byte value: 0
logical: 18490, physical: 6202, byte value: 18
logical: 55420, physical: 32124, byte value: 0
logical: 5708, physical: 18508, byte value: 0
logical: 23506, physical: 3794, byte value: 22
logical: 15391, physical: 9759, byte value: 7
logical: 36368, physical: 14352, byte value: 0
logical: 38976, physical: 9280, byte value: 0
logical: 50406, physical: 11494, byte value: 49
logical: 49236, physical: 27732, byte value: 0
logical: 65035, physical: 523, byte value: -126
logical: 30120, physical: 10152, byte value: 0
logical: 62551, physical: 27223, byte value: 21
logical: 46809, physical: 19161, byte value: 0
logical: 21687, physical: 9655, byte value: 45
logical: 53839, physical: 3919, byte value: -109
logical: 2098, physical: 13106, byte value: 2
logical: 12364, physical: 32332, byte value: 0
logical: 45366, physical: 23094, byte value: 44
logical: 50437, physical: 7685, byte value: 0
logical: 36675, physical: 31299, byte value: -48
logical: 55382, physical: 32086, byte value: 54
logical: 11846, physical: 12102, byte value: 11
logical: 49127, physical: 1255, byte value: -7
logical: 19900, physical: 21436, byte value: 0
logical: 20554, physical: 1354, byte value: 20
logical: 19219, physical: 6931, byte value: -60
logical: 51483, physical: 10779, byte value: 70
logical: 58090, physical: 26858, byte value: 56
logical: 39074, physical: 9378, byte value: 38
logical: 16060, physical: 9148, byte value: 0
logical: 10447, physical: 13007, byte value: 51
logical: 54169, physical: 13465, byte value: 0
logical: 20634, physical: 1434, byte value: 20
logical: 57555, physical: 13779, byte value: 52
logical: 61210, physical: 27930, byte value: 59
logical: 269, physical: 14605, byte value: 0
logical: 33154, physical: 16258, byte value: 32
logical: 64487, physical: 12519, byte value: -7
logical: 61223, physical: 27943, byte value: -55
logical: 47292, physical: 28860, byte value: 0
logical: 21852, physical: 31836, byte value: 0
logical: 5281, physical: 1697, byte value: 0
logical: 45912, physical: 5976, byte value: 0
logical: 32532, physical: 14100, byte value: 0
logical: 63067, physical: 10331, byte value: -106
logical: 41683, physical: 17875, byte value: -76
logical: 20981, physical: 15349, byte value: 0
logical: 33881, physical: 19801, byte value: 0
logical: 41785, physical: 20537, byte value: 0
logical: 4580, physical: 4580, byte value: 0
logical: 41389, physical: 16045, byte value: 0
logical: 28572, physical: 31132, byte value: 0
logical: 782, physical: 16654, byte value: 0
logical: 30273, physical: 6465, byte value: 0
logical: 62267, physical: 23867, byte value: -50
logical: 17922, physical: 26114, byte value: 17
logical: 63238, physical: 28934, byte value: 61
logical: 3308, physical: 3564, byte value: 0
logical: 26545, physical: 18865, byte value: 0
logical: 44395, physical: 28523, byte value: 90
logical: 39120, physical: 9424, byte value: 0
logical: 21706, physical: 9674, byte value: 21
logical: 7144, physical: 24296, byte value: 0
logical: 30244, physical: 6436, byte value: 0
logical: 3725, physical: 25997, byte value: 0
logical: 54632, physical: 17000, byte value: 0
logical: 30574, physical: 10606, byte value: 29
logical: 8473, physical: 22809, byte value: 0
logical: 12386, physical: 32354, byte value: 12
logical: 41114, physical: 3226, byte value: 40
logical: 57930, physical: 26698, byte value: 56
